area_name,total_volume,total_traffic,best_position,keyword_count
大宮,29270,18805,1.0,9
池袋,28690,15584,1.0,8
新宿,27830,12413,1.0,7
名古屋,30010,12166,1.0,8
博多,26750,12134,1.0,7
立川,17410,11768,1.0,8
宇都宮,21050,11598,1.0,11
仙台,23880,11366,1.0,8
秋葉原,18480,9471,1.0,7
錦糸町,17890,8302,1.0,7
横浜,25330,8205,1.0,8
新橋,12760,7935,1.0,7
岐阜,17150,7338,1.0,9
東京,19610,7146,2.0,7
京都,18260,7088,1.0,7
蒲田,13890,7013,1.0,7
恵比寿,14080,6974,1.0,6
町田,18650,6934,1.0,8
赤羽,12420,6805,1.0,7
中野,11570,6795,1.0,7
浜松,13340,6767,1.0,7
五反田,12880,6632,1.0,6
渋谷,13760,6505,1.0,8
一宮,11450,6205,1.0,8
大分,16470,6167,1.0,7
船橋,10800,5853,1.0,7
佐賀,19040,5719,1.0,6
千葉,18650,5544,1.0,10
和歌山,9590,5528,1.0,6
北千住,10320,5510,1.0,8
小倉,19200,5502,1.0,9
札幌,15760,5363,1.0,6
上野,11770,5213,1.0,6
高松,8600,5094,1.0,7
銀座,11300,5080,1.0,7
新横浜,10890,5009,1.0,8
水戸,13300,4994,1.0,7
広島,21410,4852,1.0,6
豊橋,6550,4766,1.0,5
沖縄,9440,4652,1.0,6
富山,7150,4583,1.0,4
松戸,7170,4470,1.0,7
久留米,14640,4376,1.0,7
荻窪,6040,4359,1.0,5
小山,6500,4308,1.0,6
溝の口,9290,4292,1.0,6
福岡,27160,4166,1.0,8
熊本,23370,4119,2.0,7
登戸,4790,4114,1.0,5
調布,6880,4091,1.0,6
新潟,9310,4068,1.0,5
梅田,16150,4029,1.0,6
鹿児島,25460,3892,2.0,7
すすきの,10450,3804,1.0,6
相模大野,5550,3733,1.0,5
つくば,7100,3694,1.0,7
西船橋,5240,3687,1.0,4
群馬,7550,3676,1.0,7
川崎,6860,3672,1.0,4
三宮,8710,3672,1.0,6
金山,5650,3608,1.0,7
四日市,7690,3573,1.0,8
関内,8010,3538,1.0,6
所沢,7450,3440,1.0,5
越谷,5850,3386,1.0,6
神戸,8550,3369,1.0,7
葛西,4000,3339,1.0,4
静岡,6600,3332,1.0,6
日暮里,4890,3305,1.0,6
長崎,8740,3197,1.0,6
八王子,8390,3129,1.0,8
新小岩,6490,3122,1.0,6
大井町,6010,3104,1.0,5
麻布十番,5130,3067,1.0,4
那覇,7150,3035,1.0,6
六本木,6790,3023,1.0,4
赤坂,5490,2978,1.0,5
尼崎,4850,2963,1.0,6
春日井,4950,2916,1.0,8
練馬,5440,2800,1.0,4
十三,4790,2758,1.0,5
藤沢,5340,2751,1.0,4
新大阪,11960,2726,1.0,6
日本橋,13560,2651,1.0,6
大阪,15690,2590,3.0,3
姫路,21500,2588,2.0,8
長野市,7150,2586,1.0,6
金沢,7080,2549,1.0,6
小田原,5750,2506,1.0,4
浦和,5040,2484,1.0,5
相模原,5650,2477,1.0,5
高槻,7400,2475,1.0,6
本厚木,3350,2393,1.0,4
大森,5000,2386,1.0,6
滋賀,5440,2382,1.0,6
郡山,5930,2364,1.0,3
三軒茶屋,6690,2349,1.0,4
川口,4600,2329,1.0,5
中目黒,6430,2302,1.0,5
京橋,8860,2262,1.0,6
門前仲町,4840,2231,1.0,4
吉祥寺,4360,2159,1.0,5
旭川,4500,2123,2.0,3
東神奈川,4350,2084,1.0,3
品川,3980,2077,1.0,5
長野,5310,2077,1.0,6
大塚,3920,2070,1.0,5
宮崎,6140,2060,1.0,5
厚木,3400,2054,1.0,4
笹塚,3450,2052,1.0,4
館林,4100,2052,1.0,3
刈谷,4150,1992,1.0,7
高田馬場,4320,1975,1.0,4
日立,3000,1953,1.0,4
神田,3620,1942,1.0,4
山梨,4800,1939,1.0,6
草加,3350,1927,1.0,4
松阪,3300,1851,1.0,2
武蔵小杉,5240,1845,1.0,4
御徒町,1940,1832,1.0,2
豊田,3700,1812,1.0,6
松山,4350,1797,1.0,5
西宮,3850,1784,1.0,7
上田,3400,1766,1.0,3
橋本,4240,1743,1.0,6
巣鴨,2760,1737,1.0,5
高崎,3750,1709,1.0,3
秋田,4010,1699,1.0,4
堺筋本町,11040,1673,2.0,6
成増,3000,1670,1.0,4
中洲,4200,1664,1.0,4
上尾,2900,1661,1.0,3
福山,15200,1655,3.0,6
鶴見,3050,1625,1.0,4
久喜,3600,1620,1.0,3
福井,4300,1617,1.0,4
名古屋駅,3400,1610,1.0,5
西川口,3250,1593,1.0,3
沼津,3450,1543,1.0,6
本八幡,3150,1532,1.0,4
新宿日本人,9900,1491,1.0,1
布施,3650,1479,1.0,4
佐世保,3300,1470,1.0,4
三ノ宮,3850,1468,1.0,5
安城,3550,1438,1.0,5
盛岡,1630,1429,1.5,1
山口市,2300,1428,1.0,2
福島,3390,1424,1.0,4
近く,4200,1406,2.0,8
成田,3700,1357,1.0,4
綱島,4000,1354,1.0,4
前橋,3350,1342,1.0,4
大和,2030,1340,1.0,1
岡崎,3350,1337,1.0,5
熊谷,2900,1333,1.0,3
上大岡,2800,1308,1.0,3
京都駅,3400,1272,1.0,3
津田沼,3250,1221,1.0,4
豊田市,2500,1219,1.0,3
松本,3650,1206,1.0,4
みずほ台,2150,1200,1.0,4
学芸大学,2600,1199,1.0,4
春日部,3700,1188,1.0,4
青森,2560,1186,1.0,3
堺東,11630,1175,2.0,6
自由が丘,3810,1174,1.0,4
戸塚,4400,1165,1.0,4
国分寺,1430,1160,1.0,1
南越谷,2500,1156,1.0,4
松江,2350,1155,1.0,3
茨城,2260,1147,1.0,4
横浜駅,2500,1114,1.0,2
代々木,2960,1114,1.0,3
新大久保,1930,1103,1.0,2
多治見,1900,1103,1.0,4
大久保,1800,1102,1.0,3
心斎橋,3200,1092,1.0,4
中央林間,2400,1087,1.0,3
浜松町,2080,1081,1.0,4
徳島,3260,1079,1.0,4
上田市,1700,1076,1.0,2
鶯谷,2850,1070,1.0,4
高岳,2200,1054,1.0,4
本町,3050,1053,1.0,4
高知,2300,1046,1.0,4
山口,4600,1045,1.0,5
神楽坂,2330,1035,1.0,5
八戸,2900,1028,1.0,2
飯田橋,2350,1027,1.0,3
浦安,2850,1025,1.0,3
綾瀬,2250,1021,1.0,4
太田,2650,1018,1.0,3
下北沢,2700,1016,1.0,2
新松戸,2100,1006,1.0,2
和歌山市,1300,999,1.0,2
高円寺,2650,986,1.0,3
茅ヶ崎,1950,986,1.0,4
鳥取,2300,978,1.0,3
府中,3590,970,1.0,4
津市,1750,966,1.0,4
西葛西,1540,954,1.0,3
明大前,2500,950,1.0,4
名駅,2150,949,1.0,4
栄町,2150,948,1.0,3
山形,2720,940,1.0,4
坂戸,1900,935,1.0,4
川越,1740,926,1.0,2
福生,1600,922,1.0,4
いわき,2500,915,1.0,4
三河,1850,910,1.0,5
武蔵小金井,2450,901,1.0,3
西日暮里,1790,882,1.0,3
大泉学園,2500,878,1.0,4
三重,2150,869,1.0,4
浅草,1630,859,1.0,2
亀戸,2230,851,1.0,3
谷九,1700,845,1.0,3
三鷹,2500,839,1.0,3
枚方,1750,832,1.0,3
堺市,1350,825,1.0,5
朝霞台,1700,821,1.0,3
今池,2200,820,1.0,2
松山市,1250,819,1.0,3
取手,1550,818,1.0,4
秋田市,1600,816,1.0,2
天王寺,3560,815,2.0,3
天満,1300,806,1.0,2
大牟田,1450,803,1.0,3
青葉台,2700,799,1.0,3
亀有,1340,793,1.0,2
難波,4770,792,2.0,3
丸亀,5200,783,2.0,3
茨木,2600,780,1.0,3
田町,1840,776,1.0,3
神栖,1500,775,1.0,2
久米川,1800,771,1.0,3
王子,1330,767,1.0,2
宮崎市,2600,764,2.0,2
土浦,1700,764,1.0,3
南森町,2000,761,1.0,2
流山,1250,761,1.0,3
三茶,1800,757,1.0,3
広島市,4700,752,2.0,3
五井,1500,750,1.0,3
小岩,1950,744,1.0,3
海老名,800,743,1.0,1
西中島,1800,733,1.0,3
千葉市,1650,729,1.0,3
二子玉川,2400,720,1.0,2
伊勢崎,1900,716,1.0,2
人形町,1850,715,1.0,3
茅場町,1730,707,1.0,2
岡山,12100,707,6.0,3
長崎市,1300,706,1.0,2
那覇市,1000,705,1.0,2
古河,1600,705,1.0,3
麻布,1700,689,1.0,3
奈良,4600,686,2.0,3
大曽根,1500,686,1.0,2
那須塩原,2100,682,1.0,3
目黒,2650,682,1.0,3
本庄,1640,677,1.0,4
水道橋,1400,674,1.0,3
新栄,1350,668,1.0,2
小山市,1500,667,1.0,2
用賀,1250,667,1.0,3
南浦和,2500,660,1.0,2
石川,1520,659,1.0,2
東海市,1400,658,1.0,3
祇園,1550,657,1.0,3
鈴鹿,1200,655,1.0,2
横須賀,2200,653,1.0,2
天神,2300,650,1.0,2
代々木上原,1380,648,1.0,2
丸の内,1400,641,1.0,2
西新宿,1300,639,1.0,2
大垣,1200,636,1.0,2
埼玉,1900,626,1.0,2
守谷,1400,626,1.0,2
桑名,1150,626,1.0,3
犬山,1030,625,1.0,4
青森市,1300,624,1.0,2
鶴ヶ島,1550,615,1.0,3
佐野,1400,614,1.0,2
新越谷,1600,614,1.0,2
浅草橋,1290,613,1.0,3
日吉,2100,612,1.0,2
蘇我,1400,607,1.0,2
行徳,1330,605,1.0,2
甲府,1600,601,1.0,2
三島,1400,591,1.0,3
センター南,2200,590,1.0,2
栃木,1510,589,1.0,2
池下,1300,586,1.0,2
平塚,2900,584,1.0,3
板橋,1230,582,1.0,3
アンコール,850,576,1.0,4
北九州,2650,576,1.0,4
大須,1150,563,1.0,2
千歳烏山,2000,562,1.0,2
ゆりかご,1150,557,2.0,3
守口,1050,556,1.0,3
江坂,2050,556,1.0,4
湘南台,2100,553,1.0,2
三重県,700,552,1.0,2
可児,950,547,1.0,3
四ツ谷,1170,532,1.0,3
霧島,1100,525,1.0,1
伏見,1400,523,1.0,2
納屋橋,1050,518,1.0,2
東広島,3100,518,2.0,2
北新地,1740,515,1.0,3
高岡,1100,513,1.0,2
八丁堀,1150,509,1.0,2
三河安城,1300,498,1.0,2
長岡,1400,494,1.0,2
苫小牧,1800,494,2.0,2
北上,1100,493,1.0,1
神保町,900,490,1.0,3
草津,950,486,1.0,2
鴻巣,1200,483,1.0,3
浜松市,1000,483,1.0,3
藤が丘,1050,481,1.0,2
高松市,750,481,1.0,2
大分市,1800,480,1.0,3
新小岩駅,1000,479,1.0,2
函館,2000,478,6.0,1
千葉駅,1900,476,1.0,2
東京駅,980,475,1.0,2
岩手,1260,474,2.0,1
小牧,1300,474,1.0,2
茂原,1050,468,1.0,3
群馬県,450,458,1.0,1
鷺沼,1600,458,1.0,2
米子,2000,457,2.0,2
新潟市,1100,452,1.0,2
桜川,1500,451,1.0,2
熱海,950,447,1.0,2
幕張本郷,1300,446,1.0,2
センター北,2200,441,2.0,3
春日井市,600,440,1.0,2
八柱,800,440,1.0,3
河原町,900,435,1.0,1
栃木市,680,435,1.0,4
武蔵新城,1000,432,1.0,2
岐阜市,850,431,1.0,2
我孫子,1300,427,1.0,2
向ヶ丘遊園,1150,425,1.0,2
東陽町,1200,423,1.0,2
大阪日本橋,1150,421,1.0,2
竹ノ塚,1100,420,1.0,3
彦根,700,417,1.0,2
多摩センター,950,416,1.0,2
周南,1000,415,1.0,1
新栄町,700,414,1.0,1
太田川,800,412,1.0,3
幕張,950,408,1.0,2
市川,1300,407,1.0,2
西荻窪,1040,403,1.0,3
新丸子,1450,400,1.0,2
四谷,900,397,1.0,2
幡ヶ谷,1250,397,1.0,2
弘前,800,393,1.0,1
福島市,2050,390,1.0,3
松阪市,590,387,1.0,2
立川市,1000,386,1.0,1
東新宿,950,373,1.0,2
宮城,1050,370,1.0,1
川崎駅,900,366,1.0,1
上福岡,1200,365,1.0,2
菊名,750,364,1.0,2
愛知,1510,364,1.0,2
三郷,1100,362,2.0,1
北浦和,1300,360,1.0,2
新富町,1400,359,1.0,2
明石,3400,354,3.0,3
三田,800,352,1.0,2
稲田堤,1000,350,1.0,2
志木,2000,350,2.0,3
高岡市,550,349,1.0,2
金町,800,349,1.0,2
武蔵小山,520,348,1.0,1
初台,750,347,1.0,2
ひばりヶ丘,1200,345,1.0,2
淵野辺,700,345,1.0,2
鳥栖,600,343,1.0,1
焼津,750,342,1.0,2
茨木市,900,340,1.0,2
岸和田,1900,339,1.0,2
可児市,550,338,1.0,2
松本市,700,334,1.0,1
博多駅,1300,334,1.0,2
藤枝,800,333,1.0,2
ふじみ野,800,332,1.0,3
北海道,860,330,1.5,1
池尻大橋,850,328,1.0,2
南流山,1150,325,2.0,2
センチュリー,350,325,1.0,2
元住吉,700,324,1.0,2
烏丸御池,700,320,1.0,1
阿佐ヶ谷,1000,319,1.0,2
滋賀県,850,317,1.0,2
中野坂上,950,316,1.0,2
静岡駅,800,316,1.0,2
三条,700,311,1.0,1
小手指,250,311,1.0,1
久留米市,850,311,1.0,2
東村山,950,311,1.0,2
敦賀,600,309,1.0,1
谷町九丁目,700,309,1.0,2
豊川,600,302,1.0,1
岐阜駅,650,300,1.0,2
上越,800,298,1.0,1
桜新町,650,296,1.0,2
平尾,800,296,1.0,2
舞鶴,700,295,1.0,1
たまプラーザ,1600,294,2.0,2
経堂,1000,294,1.0,2
押上,700,293,1.0,2
門仲,600,292,1.0,2
福山市,2200,292,4.0,2
静岡市,600,288,1.0,1
柴田,550,288,1.0,2
熊本市,2100,287,3.0,2
入間,800,283,2.0,1
大山,1000,281,1.0,2
武蔵浦和,1000,278,1.0,2
西新宿五丁目,750,278,1.0,2
昭島,600,277,1.0,2
西新井,1000,275,1.0,2
岡崎市,450,273,1.0,2
両国,1250,272,2.0,2
南柏,950,271,2.0,2
石神井公園,750,271,1.0,2
星ヶ丘,550,269,1.0,2
愛媛,750,266,1.5,1
千種,750,266,1.0,2
尾張,350,264,1.0,1
木更津,650,262,1.0,2
牛久,500,262,1.0,2
大崎,1140,261,1.0,2
東中野,850,260,1.0,2
桜木町,1150,260,1.0,2
浜松駅,650,258,1.0,2
チャンス,4100,258,4.0,2
半田,500,257,1.0,1
中山,800,256,2.0,1
倉敷,2100,256,3.0,2
周南市,500,255,1.0,1
徳山,1500,254,2.0,2
平井,550,254,1.0,2
北区,750,253,1.0,2
あざみ野,1500,253,2.0,2
スムージー,250,252,1.0,1
大津,600,251,1.0,1
駒込,950,250,1.0,2
鹿児島市,2000,250,2.0,2
東松山,650,249,1.0,2
保谷,800,249,1.0,2
千歳,1300,248,2.0,1
磐田,550,246,1.0,2
富士,500,246,1.0,2
新所沢,550,244,1.0,2
亀山,450,242,1.0,1
馬喰町,600,242,1.0,2
西条,1600,240,2.0,1
稲毛,850,239,1.0,2
赤坂見附,650,239,1.0,2
豊洲,600,238,1.0,2
矢場町,500,236,1.0,2
佐世保市,450,234,1.0,1
島根,1260,233,2.0,1
東十条,800,232,1.0,2
上本町,500,231,1.0,2
米沢市,250,228,1.0,1
近江八幡,500,224,1.0,1
歌舞伎町,1300,223,2.0,2
佐倉,450,222,1.0,2
おおたかの森,500,221,1.0,1
長堀橋,500,220,1.0,1
北朝霞,450,220,1.0,1
西三河,350,219,1.0,2
若狭,500,218,1.0,1
黒崎,1800,218,4.0,2
新百合ヶ丘,600,218,1.0,2
鳥取市,400,215,2.0,1
流山おおたかの森,450,213,1.0,1
谷町,700,211,1.0,2
派遣,400,211,1.0,2
九段下,450,210,1.0,1
奈良市,600,208,2.0,1
港区,700,207,1.0,1
雄琴,600,206,1.0,1
一宮市,400,206,1.0,1
豊中,500,205,1.0,1
能登,400,204,1.0,1
諏訪,400,200,1.0,1
蒲田駅,500,200,1.0,1
広尾,500,199,1.0,2
上石神井,450,198,1.0,1
馬喰横山,450,197,1.0,2
和光市,400,196,1.0,1
鶴舞,350,196,1.0,1
館林市,350,196,2.0,1
戸田,250,195,1.0,2
久屋大通,500,194,1.0,1
西中島南方,450,194,1.0,2
東三国,400,194,2.0,2
香川,1550,193,2.75,1
大田区,200,193,1.0,1
桶川,700,193,1.0,2
米沢,350,192,1.0,1
扇町,450,191,1.0,2
水天宮前,400,190,1.0,2
天満橋,500,190,1.0,2
延岡,500,189,2.0,1
東大阪,450,189,1.0,1
東海通,500,187,1.0,2
大船,450,186,1.0,1
岡山市北区,300,185,2.0,1
四条烏丸,500,185,1.0,1
木場,900,185,2.0,2
ベラドンナ,1200,183,2.0,1
小田急相模原,950,183,2.0,2
四国中央,700,181,3.0,1
祐天寺,350,181,1.0,1
福原,700,180,2.0,1
吹田,350,179,1.0,1
南大阪,150,179,1.0,1
前橋市,400,179,1.0,1
勝川,240,179,1.0,2
烏丸,500,178,1.0,1
下高井戸,400,178,2.0,1
白河,350,177,1.0,1
17白河,150,177,1.0,1
新潟駅,350,176,1.0,1
大宮駅,400,176,1.0,1
田無,450,174,1.0,1
茨城県,350,174,2.0,1
ひたちなか,400,173,1.0,1
要町,300,173,1.0,1
掛川,450,172,1.0,1
国分,350,171,1.0,1
中野駅,350,170,1.0,1
黒川,350,170,1.0,1
岩倉,400,170,1.0,1
高知市,300,166,2.0,1
等々力,300,166,1.0,1
池袋アネモネ,150,166,1.0,1
よりみち,1700,164,4.0,1
不動前,250,161,1.0,1
浅草駅ちか,150,160,1.0,1
神戸駅,300,160,1.0,1
南林間,450,159,2.0,1
虎ノ門,300,158,1.0,1
東岡崎,400,156,1.0,1
川口市,350,155,1.0,1
三ノ輪,300,155,1.0,1
有楽町,350,155,1.0,1
鯖江,800,154,2.0,1
住吉,300,153,1.0,1
朝霞,300,153,1.0,1
伊丹,400,152,1.0,1
薬院,400,151,1.0,1
武雄,900,148,2.0,1
甲府市,350,148,1.0,1
枚方市,300,148,1.0,1
仙川,300,146,1.0,1
八尾,400,146,1.0,1
美濃加茂,250,145,1.0,1
つくば市,300,144,1.0,1
新瑞橋,250,144,1.0,1
草加体入,400,144,1.0,1
相模原駅,250,143,1.0,1
日野,250,143,1.0,1
江南,300,143,1.0,1
下関,700,143,2.0,1
南町,200,142,1.0,1
豊橋市,250,141,1.0,1
リンクス,250,141,1.0,1
東川口,400,140,2.0,1
越谷市,300,139,1.0,1
秋津,400,137,2.0,1
新検見川,250,137,1.0,1
香取市,200,137,1.0,1
千葉中央,350,136,1.0,1
飯田,350,135,1.0,1
御茶ノ水,300,134,1.0,1
旗の台,250,134,1.0,1
都内,400,134,1.0,1
ファーストクラス,150,134,1.0,1
上前津,250,134,1.0,1
鶴橋,250,134,1.0,1
四街道,300,133,1.0,1
神奈川,1300,133,5.0,1
新高円寺,350,133,1.0,1
東銀座,350,132,1.0,1
長浜,350,132,1.0,1
入谷,250,131,1.0,1
菊陽町,300,130,1.0,1
郡山市,300,130,1.0,1
小倉北区,100,130,1.0,1
長野駅,350,129,1.0,1
福井市,300,129,1.0,1
江古田,300,129,1.0,1
千葉県,200,129,1.0,1
鯖江市,350,129,1.0,1
池袋駅,350,128,1.0,1
柏駅,250,127,1.0,1
山形市,300,127,2.0,1
麻布十番駅,250,127,1.0,1
尾張駅ちか,250,127,1.0,1
伊勢佐木長者町,350,126,1.0,1
後楽園,250,125,1.0,1
古河市,250,125,1.0,1
東広島市,700,125,2.0,1
菊川,250,125,1.0,1
福知山,500,124,3.0,1
日立市,200,123,1.0,1
十条,250,123,2.0,1
狭山,200,123,1.0,1
兵庫,300,122,1.0,1
船橋市,250,122,1.0,1
青砥,450,122,2.0,1
大田原市,200,120,1.0,1
なんば,800,120,2.0,1
今治,800,119,2.0,1
仙台市,300,119,1.0,1
飯能,300,118,1.0,1
大阪駅,300,118,1.0,1
江東区,300,118,1.0,1
原宿,300,117,1.0,1
渋谷駅,300,117,1.0,1
谷塚,500,117,2.0,1
水戸市,300,117,1.0,1
金山駅,200,117,1.0,1
宇都宮市,300,117,1.0,1
浦添市,250,116,2.0,1
木曽川,200,116,1.0,1
天文館,700,116,2.0,1
流山市,200,115,1.0,1
金沢市,300,115,1.0,1
鷺ノ宮,200,115,1.0,1
目白,300,115,1.0,1
川口駅,300,114,1.0,1
伊勢,200,114,1.0,1
新安城,300,114,1.0,1
高崎駅,200,114,1.0,1
福島駅,200,113,1.0,1
稲沢市,200,113,1.0,1
新今宮,250,113,1.0,1
天神南,300,113,1.0,1
駒沢,200,113,1.0,1
日比谷,200,112,1.0,1
坂東,200,111,1.0,1
新宿御苑,300,111,1.0,1
東久留米,400,111,2.0,1
安城市,250,111,1.0,1
鎌ヶ谷,250,111,1.0,1
武蔵小杉駅,300,111,1.0,1
荻窪駅,250,111,1.0,1
新宿区,300,110,1.0,1
岐南,200,110,1.0,1
名東区,200,109,1.0,1
和泉府中,300,109,1.0,1
伊那,200,109,1.0,1
名古屋市,250,109,1.0,1
七尾,200,109,1.0,1
ハンドレッド,100,109,1.0,1
千代田区,250,108,1.0,1
岩国,250,108,1.0,1
中野区,250,108,1.0,1
茂原市,200,108,1.0,1
中津,450,107,2.0,1
石岡市,200,107,1.0,1
弘前市,250,107,1.0,1
研究学園,200,106,1.0,1
守口市,200,106,2.0,1
小牧市,250,106,1.0,1
渋谷区,250,105,1.0,1
熱海市,200,105,1.0,1
堀田,200,105,1.0,1
小樽,250,105,1.0,1
堺駅,300,105,2.0,1
東武練馬,250,105,1.0,1
善通寺,800,104,4.0,1
花小金井,300,104,2.0,1
八千代台,200,104,1.0,1
荻窪駅ちか,300,103,1.0,1
春日部駅ちか,300,103,1.0,1
伊勢市,150,103,1.0,1
東日本橋,300,102,1.0,1
石川県,250,102,1.0,1
名護市,250,102,1.0,1
多治見市,200,102,1.0,1
越谷駅ちか,250,101,1.0,1
会津若松,200,101,1.0,1
菊陽,250,101,1.0,1
桶川市,200,101,1.0,1
さくら市,200,101,1.0,1
広島市中区,200,101,1.0,1
四谷三丁目,250,101,1.0,1
狭山市,150,101,1.0,1
高槻市,350,100,3.0,1
俺の家,1300,100,5.0,1
新大塚,200,100,1.0,1
マリーゴールド,1200,99,5.0,1
ススキノ,100,99,1.0,1
入間市,300,99,2.0,1
天王寺駅ちか,250,98,1.0,1
那珂市,200,98,1.0,1
富山市,200,98,1.0,1
尾頭橋,200,98,1.0,1
関市,200,98,1.0,1
平針,150,98,1.0,1
石巻,700,97,5.0,1
杉並区,250,97,1.0,1
西春,150,97,1.0,1
大垣市,150,97,1.0,1
船堀,250,97,1.0,1
上小田井,200,97,1.0,1
新庄,200,97,1.0,1
検索,350,97,2.0,1
印西市,150,97,1.0,1
稲荷町,150,96,1.0,1
新宿御苑前,250,96,1.0,1
墨田区,250,96,1.0,1
日進,200,96,1.0,1
市原,150,96,1.0,1
新宿駅,250,96,1.0,1
帯広,500,95,3.0,1
lynx,150,95,1.0,1
ひたちなか市,200,95,1.0,1
小田井,200,95,1.0,1
与野,350,95,2.0,1
日野市,200,94,1.0,1
シャノワール,1400,94,7.0,1
白河市,200,94,1.0,1
パルコ,90,94,1.0,1
常総市,150,94,1.0,1
草加市,200,94,1.0,1
品川区,250,94,1.0,1
麹町,250,94,1.0,1
柏市,200,94,1.0,1
福知山市,200,94,1.0,1
三鷹市,200,94,1.0,1
南千住,250,93,1.0,1
鹿島田,250,93,1.0,1
渡辺通,200,93,1.0,1
千歳市,90,93,1.0,1
名古屋栄,90,93,1.0,1
春日,200,93,1.0,1
秋葉,250,92,1.0,1
昭島市,200,92,1.0,1
新横浜駅,250,92,1.0,1
天神橋筋六丁目,200,92,1.0,1
尼崎市,150,92,1.0,1
江戸川,200,91,1.0,1
北海道健全,250,91,2.0,1
道頓堀,250,91,2.0,1
妙典,200,91,1.0,1
二条,200,91,1.0,1
玉名,200,91,1.0,1
デリバリー,150,90,1.0,1
府中市,200,90,1.0,1
庄内,150,90,1.0,1
各務原,200,90,1.0,1
大門,200,90,1.0,1
国分町,350,90,2.0,1
いすみ市,200,90,1.0,1
巣鴨駅ちか,200,90,1.0,1
瑞江,200,90,1.0,1
天六,250,89,1.0,1
流川,200,89,1.0,1
谷町9丁目,150,89,1.0,1
田端,200,89,1.0,1
つくば駅ちか,250,89,1.0,1
足立区,250,89,1.0,1
日進市,200,89,1.0,1
吉川市,150,89,1.0,1
習志野市,150,88,1.0,1
丹波,200,88,1.0,1
新大阪駅,250,88,1.0,1
松原,200,88,1.0,1
リオン,80,88,1.0,1
佐倉市,150,88,1.0,1
垂水,200,88,1.0,1
天童市,200,87,1.0,1
取手市,200,87,1.0,1
清瀬,450,87,2.0,1
中村区役所,200,87,1.0,1
exe,500,87,2.0,1
豊中市,200,87,1.0,1
台東区,200,87,1.0,1
市ヶ谷駅ちか,200,86,1.0,1
熱田,150,86,1.0,1
船橋駅,200,86,1.0,1
吹田市,200,86,2.0,1
酒田市,150,86,1.0,1
神戸市,200,85,1.0,1
広島市昭和町,150,85,1.0,1
いわき市,250,85,1.0,1
豊田市駅,150,85,1.0,1
板橋駅,200,85,1.0,1
目黒駅ちか,200,85,1.0,1
静岡中部,150,85,1.0,1
武雄市,200,84,1.0,1
駒沢大学,300,84,2.0,1
佐野市,200,84,1.0,1
名古屋市西区,150,84,1.0,1
小伝馬町,250,84,1.0,1
田辺市,150,84,1.0,1
人形町駅ちか,200,84,2.0,1
ラヴィエ,600,84,2.0,1
八千代,200,84,1.0,1
ワンルーム,80,84,1.0,1
東池袋,300,84,2.0,1
アネモネ,600,83,2.0,1
笠間市,200,83,1.0,1
岩国市,150,82,1.0,1
白井市,150,82,1.0,1
名取,200,82,1.0,1
聖蹟桜ヶ丘,200,82,1.0,1
小金井市,150,82,1.0,1
北本市,150,82,2.0,1
月島,400,82,2.0,1
美魔女,150,82,1.0,1
栄町駅ちか,250,82,1.0,1
久喜市,150,82,1.0,1
本所吾妻橋,200,81,1.0,1
市ヶ谷,810,81,5.5,1
恩納村,200,81,1.0,1
素人,150,81,1.0,1
文京区,150,81,2.0,1
東区,150,81,2.0,1
